STATION,STATION_NAME,DATE,MNTM
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19030101,-32
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19030201,-17
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19030301,62
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19030401,78
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19030501,145
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19030601,148
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19030701,207
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19030801,171
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19030901,169
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19031001,108
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19031101,26
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19031201,-41
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19040101,-72
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19040201,-72
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19040301,2
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19040401,61
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19040501,153
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19040601,164
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19040701,205
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19040801,192
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19040901,158
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19041001,88
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19041101,19
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19050101,-55
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19050201,-67
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19050301,12
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19050401,72
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19050501,132
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19050601,173
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19050701,214
